Wavelength,Phase
1008.309854,-253.104287
1008.318108,-253.104287
1008.326362,-253.104287
1008.334616,-253.104287
1008.34287,-250.5786967
1008.351124,-250.5786967
1008.359378,-250.5786967
1008.367632,-250.5786967
1008.375886,-250.5786967
1008.38414,-250.5786967
1008.392394,-250.5786967
1008.400648,-250.5786967
1008.408902,-250.5786967
1008.417156,-250.5786967
1008.42541,-249.3159015
1008.433664,-249.3159015
1008.441918,-249.3159015
1008.450172,-249.3159015
1008.458426,-249.3159015
1008.46668,-249.3159015
1008.474934,-249.3159015
1008.483188,-249.3159015
1008.491442,-249.3159015
1008.499696,-249.3159015
1008.50795,-247.4217087
1008.516204,-247.4217087
1008.524458,-247.4217087
1008.532712,-247.4217087
1008.540966,-247.4217087
1008.54922,-247.4217087
1008.557474,-247.4217087
1008.565728,-247.4217087
1008.573982,-247.4217087
1008.582236,-247.4217087
1008.59049,-247.4217087
1008.598744,-244.8961184
1008.606998,-244.8961184
1008.615252,-244.8961184
1008.623506,-244.8961184
1008.63176,-244.8961184
1008.640014,-244.8961184
1008.648268,-244.8961184
1008.656522,-244.8961184
1008.664776,-244.8961184
1008.67303,-244.8961184
1008.681284,-243.6333232
1008.689538,-243.6333232
1008.697792,-243.6333232
1008.706046,-243.6333232
1008.7143,-243.6333232
1008.722554,-243.6333232
1008.730808,-243.6333232
1008.739062,-243.6333232
1008.747316,-243.6333232
1008.75557,-243.6333232
1008.763824,-241.7391304
1008.772078,-241.7391304
1008.780332,-241.7391304
1008.788586,-241.7391304
1008.79684,-241.7391304
1008.805094,-241.7391304
1008.813348,-241.7391304
1008.821602,-241.7391304
1008.829856,-241.7391304
1008.83811,-241.7391304
1008.846364,-239.8449377
1008.854618,-239.8449377
1008.862872,-239.8449377
1008.871126,-239.8449377
1008.87938,-239.8449377
1008.887634,-239.8449377
1008.895888,-239.8449377
1008.904142,-239.8449377
1008.912396,-239.8449377
1008.92065,-239.8449377
1008.928904,-238.5821425
1008.937158,-238.5821425
1008.945412,-238.5821425
1008.953666,-238.5821425
1008.96192,-238.5821425
1008.970174,-238.5821425
1008.978428,-238.5821425
1008.986682,-238.5821425
1008.994936,-238.5821425
1009.00319,-238.5821425
1009.011444,-238.5821425
1009.019698,-236.0565521
1009.027952,-236.0565521
1009.036206,-236.0565521
1009.04446,-236.0565521
1009.052714,-236.0565521
1009.060968,-236.0565521
1009.069222,-236.0565521
1009.077476,-236.0565521
1009.08573,-236.0565521
1009.093984,-236.0565521
1009.102238,-234.1623594
1009.110492,-234.1623594
1009.118746,-234.1623594
1009.127,-234.1623594
1009.135254,-234.1623594
1009.143508,-234.1623594
1009.151762,-234.1623594
1009.160016,-234.1623594
1009.16827,-234.1623594
1009.176524,-234.1623594
1009.184778,-232.8995642
1009.193032,-232.8995642
1009.201286,-232.8995642
1009.20954,-232.8995642
1009.217794,-232.8995642
1009.226048,-232.8995642
1009.234302,-232.8995642
1009.242556,-232.8995642
1009.25081,-232.8995642
1009.259064,-232.8995642
1009.267318,-231.0053714
1009.275572,-231.0053714
1009.283826,-231.0053714
1009.29208,-231.0053714
1009.300334,-231.0053714
1009.308588,-231.0053714
1009.316842,-231.0053714
1009.325096,-231.0053714
1009.33335,-231.0053714
1009.341604,-231.0053714
1009.349858,-228.4797811
1009.358112,-228.4797811
1009.366366,-228.4797811
1009.37462,-228.4797811
1009.382874,-228.4797811
1009.391128,-228.4797811
1009.399382,-228.4797811
1009.407636,-228.4797811
1009.41589,-228.4797811
1009.424144,-228.4797811
1009.432398,-227.2169859
1009.440652,-227.2169859
1009.448906,-227.2169859
1009.45716,-227.2169859
1009.465414,-227.2169859
1009.473668,-227.2169859
1009.481922,-227.2169859
1009.490176,-227.2169859
1009.49843,-227.2169859
1009.506684,-227.2169859
1009.514938,-227.2169859
