  wavelength    amplitude
1.04650667E+03 5.17172242E-01
1.04663930E+03 4.99213264E-01
1.04672772E+03 4.80583644E-01
1.04677193E+03 4.77782731E-01
1.04683824E+03 4.72699267E-01
1.04687140E+03 4.66410908E-01
1.04690456E+03 4.62364698E-01
1.04697087E+03 4.54164148E-01
1.04710350E+03 4.44606916E-01
1.04719192E+03 4.33190398E-01
1.04723612E+03 4.22313090E-01
1.04730244E+03 4.19122947E-01
1.04753454E+03 4.05450345E-01
1.04762075E+03 4.00118859E-01
1.04774011E+03 3.94443248E-01
1.04776664E+03 4.02793422E-01
1.04784622E+03 3.78325681E-01
1.04786611E+03 3.84379133E-01
1.04793242E+03 3.75548354E-01
1.04809821E+03 3.83446872E-01
1.04823084E+03 3.88085779E-01
1.04826399E+03 3.93864374E-01
1.04833031E+03 3.99111276E-01
1.04836346E+03 4.04566643E-01
1.04856241E+03 4.09403399E-01
1.04859556E+03 4.14939097E-01
1.04879451E+03 4.18482001E-01
1.04884092E+03 4.23202020E-01
1.04899345E+03 4.34839681E-01
1.04925870E+03 4.34839681E-01
1.04926534E+03 4.29247955E-01
1.04945765E+03 4.24215660E-01
1.04959027E+03 4.12017697E-01
1.04968974E+03 4.04124068E-01
1.04977816E+03 3.87624386E-01
1.04978922E+03 3.94034719E-01
1.04982237E+03 3.83680151E-01
1.04995500E+03 3.70390428E-01
1.05006552E+03 3.56103599E-01
1.05015394E+03 3.37527968E-01
1.05018710E+03 3.29479177E-01
1.05020368E+03 3.14472647E-01
1.05022026E+03 3.21785383E-01
1.05031973E+03 3.08004213E-01
1.05041920E+03 2.98713178E-01
1.05048551E+03 2.90820864E-01
1.05055183E+03 2.73702928E-01
1.05075077E+03 2.51913233E-01
1.05088340E+03 2.41022146E-01
1.05101603E+03 2.22490254E-01
1.05110444E+03 2.01380843E-01
1.05111550E+03 1.90653718E-01
1.05128128E+03 2.02267523E-01
1.05144707E+03 1.79784285E-01
1.05171232E+03 1.79784285E-01
1.05191126E+03 1.79784285E-01
1.05192784E+03 1.62945212E-01
1.05204389E+03 1.51417753E-01
1.05205495E+03 1.40059627E-01
1.05220968E+03 1.39419317E-01
1.05227599E+03 1.54922745E-01
1.05245599E+03 1.74370385E-01
1.05267388E+03 1.79784285E-01
1.05270040E+03 1.63848756E-01
1.05283966E+03 1.35513929E-01
1.05286177E+03 1.49933162E-01
1.05309071E+03 1.38591713E-01
1.05310492E+03 1.56645833E-01
1.05337017E+03 1.35017814E-01
1.05338439E+03 1.51037396E-01
1.05362122E+03 1.38591713E-01
1.05363543E+03 1.56645833E-01
1.05390069E+03 1.53180276E-01
1.05403331E+03 1.20855302E-01
1.05409963E+03 9.88648724E-02
1.05422563E+03 4.27636879E-02
1.05433173E+03 7.40228478E-02
1.05435825E+03 1.16788938E-01
1.05438478E+03 9.26993581E-02
1.05443120E+03 3.81173320E-02
1.05463014E+03 1.23056345E-01
1.05463488E+03 9.84762357E-02
1.05482908E+03 3.98390010E-02
1.05486224E+03 1.23056345E-01
1.05487882E+03 1.00213238E-01
1.05542591E+03 1.02856954E-01
1.05545907E+03 1.23056345E-01
1.05569117E+03 3.98390010E-02
1.05572432E+03 8.42019121E-02
1.05585695E+03 1.01543700E-01
1.05597063E+03 1.14668274E-01
1.05622168E+03 1.20855302E-01
1.05648693E+03 1.20855302E-01
1.05675219E+03 1.23056345E-01
1.05677429E+03 9.97658058E-02
1.05698429E+03 1.23056345E-01
1.05701745E+03 1.03507333E-01
1.05728270E+03 1.01543700E-01
1.05731586E+03 1.21593413E-01
1.05768059E+03 1.52301563E-01
1.05774690E+03 1.20855302E-01
1.05794584E+03 1.23056345E-01
1.05800553E+03 9.61114093E-02
1.05814479E+03 3.63141295E-02
1.05817794E+03 6.63751610E-02
1.05827078E+03 9.66683764E-02
1.05834373E+03 1.20855302E-01
1.05850951E+03 1.04153651E-01
1.05854267E+03 4.30763972E-02
1.05894055E+03 1.20855302E-01
1.05932423E+03 1.13997474E-01
1.05953738E+03 1.02856954E-01
1.05973632E+03 1.21960789E-01
1.05978274E+03 1.00480739E-01
1.05980264E+03 4.14892878E-02
1.05986895E+03 7.75644377E-02
1.05996842E+03 2.54487917E-02
1.06001263E+03 1.21593413E-01
1.06003474E+03 1.00658681E-01
1.06054314E+03 9.42310777E-02
1.06054630E+03 1.14668274E-01
1.06069788E+03 3.69249780E-02
1.06078630E+03 9.70379101E-02
